code;term;description
207;Application internal error;Application internal error
206;Application record locked;Application record locked
102;Data type error;Data type error
205;Duplicate key identifier;Duplicate key identifier
0;Message accepted;Message accepted
101;Required field missing;Required field missing
100;Segment sequence error;Segment sequence error
103;Table value not found;Table value not found
204;Unknown key identifier;Unknown key identifier
201;Unsupported event code;Unsupported event code
200;Unsupported message type;Unsupported message type
202;Unsupported processing id;Unsupported processing id
203;Unsupported version id;Unsupported version id
