code;term;description
AC;academic;"Indicatesthataprefixlike Dr. orasuffixlike M.D. or Ph.D. isanacademictitle."
AD;adopted;"Thenamethepersonwasgivenatthetimeofadoption."
BR;birth;"Anamethatapersonhadshortlyafterbeingborn.Usuallyforfamilynamesbutmaybeusedtomarkgivennamesatbirththatmayhavechangedlater."
CL;callme;"Acallmenameis(usuallyagivenname)thatispreferredwhenapersonisdirectlyaddressed."
IN;initial;"Indicatesthatanamepartisjustaninitial.Initialsdonotimplyatrailingperiodsincethiswouldnotworkwithnon-Latinscripts.Initialsmayconsistofmorethanoneletter,e.g. Ph. couldstandfor Philippe or Th. for Thomas ."
LS;Legalstatus;"Fororganizationsasuffixindicatingthelegalstatus,e.g. Inc. , Co. , AG , GmbH , B.V.  S.A. , Ltd. etc."
NB;nobility;"InEuropeandAsia,therearestillpeoplewithnobilitytitles(aristocrats).German von isgenerallyanobilitytitle,notamerevoorvoegsel.Othersare Earlof or HisMajestyKingof... etc.Rarelyusednowadays,butsomesystemsdokeeptrackofthis."
PR;professional;"PrimarilyintheBritishImperialculturepeopletendtohaveanabbreviationoftheirprofessionalorganizationaspartoftheircredentialsuffices."
SP;spouse;"Thenameassumedfromthepartnerinamaritalrelationship(hencethe SP ).Usuallythespouse'sfamilyname.Notethatnoinferenceaboutgendercanbemadefromtheexistenceofspousenames."
TITLE;title;"Indicatesthataprefixorasuffixisatitlethatappliestothewholename,notjusttheadjacentnamepart."
VV;voorvoegsel;"ADutch voorvoegsel issomethinglike van or de thatmighthaveindicatednobilityinthepastbutnolongerso.SimilarprefixesexistinotherlanguagessuchasSpanish,FrenchorPortugese."
CON;containername;"Description:Thisreferstothecontainerifpresentinthemedicinalproductname.EXAMPLES:ForOptaflususpensionforinjectioninpre-filledsyringeInfluenzavaccine(surfaceantigen,inactivated,preparedincellculture)(2007/2008season):pre-filledsyringe"
DEV;devicename;"Description:Thisreferstothequalifiersinthenamefordevicesandisatthemomentmainlyapplicabletoinsulinsandinhalationproducts.EXAMPLES:ForthemedicinalproductActrapidFlexPen100IU/mlSolutionforinjectionSubcutaneoususe:FlexPen."
FLAV;FlavorName;"Description:Thisreferstoaflavorofthemedicinalproductifpresentinthemedicinalproductname.Examples:For'CoughCureLinctusOrangeFlavor',theflavorpartis Orange For'WonderdrugSyrupCherryFlavor',theflavorpartis Cherry "
FORMUL;FormulationPartName;"Description:Thisreferstotheformulationofthemedicinalproductifpresentinthemedicinalproductname.Examples:For'SpecialMedSugarFreeCoughSyrup',theformulationnamepartis SugarFree For'QuickCureGluten-freeBulkFibre',theformulationnamepartis gluten-free "
FRM;formname;"Description:Thisreferstothepharmaceuticalform/ifpresentinthemedicinalproductname.EXAMPLES:ForAgenerase50mgsoftcapsules:SoftCapsulesForLudiomil25mg-Filmtabletten:FilmtablettenForOptaflususpensionforinjectioninpre-filledsyringeInfluenzavaccine(surfaceantigen,inactivated,preparedincellculture)(2007/2008season):suspensionforinjection"
INV;inventedname;"Description:Thisreferstotheproductnamewithoutthetrademarkorthenameofthemarketingauthorizationholderoranyotherdescriptorreflectedintheproductnameand,ifappropriate,whetheritisintendede.g.forbabies,childrenoradults.EXAMPLES: Agenerase Optaflu Ludiomil"
POPUL;TargetPopulationName;"Description:Thisreferstothetargetpopulationforthemedicinalproductifpresentinthemedicinalproductname Examples: For'Broncho-Drug3.5mg-capsulesforchildren',thetargetpopulationpartis children For'AdultChestyCoughSyrup',thetargetpopulationpartis adult "
SCI;scientificname;"Description:Thisreferstotheproductcommonorscientificnamewithoutthetrademarkorthenameofthemarketingauthorizationholderoranyotherdescriptorreflectedintheproductname. EXAMPLES: ForAgenerase:N/A ForOptaflu:Influenzavaccine(surfaceantigen,inactivated,preparedincellculture)(2007/2008season) ForLudiomil:N/A"
STR;strengthname;"Description:Thisreferstothestrengthifpresentinthemedicinalproductname.Theuseofdecimalpointsshouldbeaccommodatedifrequired. EXAMPLES: ForAgenerase50mgsoftcapsules:50mg ForLudiomil25mg-Filmtabletten:25mg ForOptaflususpensionforinjectioninpre-filledsyringeInfluenzavaccine(surfaceantigen,inactivated,preparedincellculture)(2007/2008season):N/A"
TIME;TimeOrPeriodName;"Description:Thisreferstoatimeortimeperiodthatmaybespecifiedinthetextofthemedicinalproductname Example: Foraninfluenzavaccine'Drug-FLUseason2008/2009',thetime/periodpartis 2008/2009season "
TMK;trademarkname;"Description:Thisreferstotrademark/companyelementifpresentinthemedicinalproductname. EXAMPLES: forInsulinHumanWinthropComb15:Winthrop"
USE;intendedusename;"Description:Thisreferstotheintendeduseifpresentinthemedicinalproductnamewithoutthetrademarkorthenameofthemarketingauthorizationholderoranyotherdescriptorreflectedintheproductname. Examples: For'Drug-BICaplets-HeartburnRelief',theintendedusepartis: HeartburnRelief For'MedicineHoneySyrupforSoothingCoughs'theintendedusepartis SoothingCoughs "
