code;term;description
ROL;role;Corresponds to the Role class 
(_RoleClassAssociative);;A general association between two entities that is neither partitive nor ontological. 
(_RoleClassMutualRelationship);;A relationship that is based on mutual behavior of the two Entities as being related. The basis of such relationship may be agreements (e.g. spouses, contract parties) or they may be de facto behavior (e.g. friends) or may be an incidental involvement with each other (e.g. parties over a dispute, siblings, children). 
(_RoleClassRelationshipFormal);;A relationship between two entities that is formally recognized, frequently by a contract or similar agreement. 
AFFL;affiliate;Player of the Affiliate role has a business/professional relationship with scoper. Player and scoper may be persons or organization. The Affiliate relationship does not imply membership in a group, nor does it exist for resource scheduling purposes.  Example: A healthcare provider is affiliated with another provider as a business associate. 
AGNT;agent;An entity (player) that acts or is authorized to act on behalf of another entity (scoper). 
ASSIGNED;assigned entity;An agent role in which the agent is an Entity acting in the employ of an organization. The focus is on functional role on behalf of the organization, unlike the Employee role where the focus is on the 'Human Resources' relationship between the employee and the organization. 
COMPAR;commissioning party;An Entity that is authorized to issue or instantiate permissions, privileges, credentials or other formal/legal authorizations. 
SGNOFF;signing authority or officer;The role of a person (player) who is the officer or signature authority for of a scoping entity, usually an organization (scoper). 
CON;contact;A person or an organization (player) which provides or receives information regarding another entity (scoper). Examples; patient NOK and emergency contacts; guarantor contact; employer contact. 
ECON;emergency contact;An entity to be contacted in the event of an emergency. 
NOK;next of kin;An individual designated for notification as the next of kin for a given entity. 
GUARD;guardian;Guardian of a ward 
CIT;citizen;Citizen of apolitical entity 
COVPTY;covered party;A role class played by a person who receives benefit coverage under the terms of a particular insurance policy. The underwriter of that policy is the scoping entity. The covered party receives coverage because of some contractual or other relationship with the holder of that policy.  Discussion:This reason for coverage is captured in 'Role.code' and a relationship link with type code of indirect authority should be included using the policy holder role as the source, and the covered party role as the target.  Note that a particular policy may cover several individuals one of whom may be, but need not be, the policy holder. Thus the notion of covered party is a role that is distinct from that of the policy holder. 
