code;term;description
AC;AC;before meal (from lat. ante cibus)
ACD;ACD;before lunch (from lat. ante cibus diurnus)
ACM;ACM;before breakfast (from lat. ante cibus matutinus)
ACV;ACV;before dinner (from lat. ante cibus vespertinus)
C;C;Description: meal (from lat. ante cibus)
CD;CD;Description: lunch (from lat. cibus diurnus)
CM;CM;Description: breakfast (from lat. cibus matutinus)
CV;CV;Description: dinner (from lat. cibus vespertinus)
HS;HS;Description: Prior to beginning a regular period of extended sleep (this would exclude naps). Note that this might occur at different times of day depending on a person's regular sleep schedule.
IC;IC;between meals (from lat. inter cibus)
ICD;ICD;between lunch and dinner
ICM;ICM;between breakfast and lunch
ICV;ICV;between dinner and the hour of sleep
PC;PC;after meal (from lat. post cibus)
PCD;PCD;after lunch (from lat. post cibus diurnus)
PCM;PCM;after breakfast (from lat. post cibus matutinus)
PCV;PCV;after dinner (from lat. post cibus vespertinus)
WAKE;WAKE;Description: Upon waking up from a regular period of sleep, in order to start regular activities (this would exclude waking up from a nap or temporarily waking up during a period of sleep)Usage Notes: e.g. Take pulse rate on waking in management of thyrotoxicosis. Take BP on waking in management of hypertension Take basal body temperature on waking in establishing date of ovulation
